"date","sex","unemployed_percent","longterm_sick_percent","caring_percent","other_inactive_percent"
2025,Female,4.43,2.72,2.18,3.34
2025,Male,7.4,3.22,0.2,3.15
2024,Female,4.21,2.89,2.6,2.94
2024,Male,6.76,3.87,0.43,3.47
2023,Female,3.62,3.08,2.91,2.25
2023,Male,5.23,3.46,0.46,3.17
2022,Female,4.17,2.93,2.63,2.37
2022,Male,5.61,3.38,0.25,3.62
2021,Female,3.12,2.09,2.05,2.08
2021,Male,5.24,3.14,0.33,3.34
2020,Female,3.53,1.85,2.38,2.29
2020,Male,7.28,2.98,0.23,3.21
2019,Female,2.99,2.63,3.62,1.94
2019,Male,6.37,2.18,0.29,2.43
2018,Female,3.53,2.29,3.96,2.12
2018,Male,5.65,2.12,0.3,2.64
2017,Female,3.92,1.85,3.64,1.81
2017,Male,5.39,2.9,0.21,2.4
2016,Female,3.32,1.96,3.95,2.08
2016,Male,6.01,2.25,0.23,2.77
2015,Female,3.68,1.94,5.21,1.81
2015,Male,5.74,2.05,0.28,2.46
2014,Female,5.08,1.62,6.57,2.14
2014,Male,7.22,1.85,0.22,1.49
2013,Female,5.91,1.35,5.84,1.74
2013,Male,9.43,1.82,0.28,1.82
2012,Female,6.15,1.13,7.28,1.64
2012,Male,9.58,1.84,0.29,1.88
